시군구,회사명,도로명주소,데이터기준일자
안산시,광우산업,"경기도 안산시 상록구 오목로15길 6 (본오동, 광우빌딩)",2024-02-13
안산시,국일전기,경기도 안산시 단원구 옴뱅이길 11 (신길동),2024-02-13
안산시,그린콘트롤,"경기도 안산시 상록구 정재로 23,  203호 (부곡동)",2024-02-13
안산시,금비전자(주),경기도 안산시 상록구 장상길 17-1 (장상동),2024-02-13
안산시,금비전자(주),"경기도 안산시 상록구 유남길 17-6, 2층, 3층(장상동, 금비전자)",2024-02-13
안산시,기획원이,"경기도 안산시 단원구 와동로 79-1, 1층·2층 (와동)",2024-02-13
안산시,나노기술(주),경기도 안산시 상록구 안산테콤1길 25 (사사동),2024-02-13
안산시,넥스데코,경기도 안산시 상록구 담원1길 21  (팔곡이동),2024-02-13
안산시,다나TECH,"경기도 안산시 상록구 도금단지2길 17-12, A동(팔곡이동)",2024-02-13
안산시,다비치푸드,"경기도 안산시 상록구 방아고개길 35-7, 가동 (장하동)",2024-02-13
안산시,다연테크,경기도 안산시 상록구 청룡2길 6 (장상동),2024-02-13
안산시,다운옵틱,"경기도 안산시 상록구 광덕산로 19-5, 1,2,3층 (월피동)",2024-02-13
안산시,다운옵틱2공장,경기도 안산시 상록구 원후길 2-11(장하동),2024-02-13
안산시,대동금속공업사,"경기도 안산시 상록구 도금단지2길 25 (팔곡이동, 대동금속)",2024-02-13
안산시,대동금속화학,"경기도 안산시 상록구 도금단지2길 25 (팔곡이동, 대동금속)",2024-02-13
안산시,대림산업,경기도 안산시 상록구 도금단지2길 13 (팔곡이동),2024-02-13
안산시,대성산업,경기도 안산시 상록구 도금단지1길 30 (팔곡이동),2024-02-13
안산시,대송하이테크,"경기도 안산시 상록구 팔곡산단3길 14, A동 1층 (팔곡이동)",2024-02-13
안산시,대양산업(주),"경기도 안산시 상록구 선진2길 12 (사동, A동)",2024-02-13
안산시,대영도금,경기도 안산시 상록구 도금단지2길 17(팔곡이동),2024-02-13
안산시,대영코너비드,경기도 안산시 상록구 원후길 11 (장하동),2024-02-13
안산시,대일강업(주),경기도 안산시 상록구 도금단지1길 14 (팔곡이동),2024-02-13
안산시,대진정밀,경기도 안산시 상록구 양달말길 91-1 (장상동) (총 2 필지) 외 1필지,2024-02-13
안산시,대호금속,"경기도 안산시 상록구 도금단지1길 54 (팔곡이동, 대호금속)",2024-02-13
안산시,대호디자인,"경기도 안산시 단원구 선부로 270,  유통상가 1204호 (와동)",2024-02-13
안산시,대화금속,"경기도 안산시 상록구 도금단지2길 21, 대화금속(팔곡이동)",2024-02-13
안산시,더미소,"경기도 안산시 상록구 조구나리길 6, 1층, 2층(이동)",2024-02-13
안산시,덕광금속,"경기도 안산시 상록구 도금단지2길 24-1 (팔곡이동, 대진금속)",2024-02-13
안산시,덕광케미칼,"경기도 안산시 상록구 도금단지2길 37 (팔곡이동, 세일금속)",2024-02-13
안산시,도은시스템,경기도 안산시 상록구 새말길 23-3(부곡동),2024-02-13
안산시,동명금속,"경기도 안산시 상록구 도금단지2길 24 (팔곡이동, (주)에스코)",2024-02-13
안산시,동민산업개발(주),"경기도 안산시 상록구 도금단지2길 8 (팔곡이동, 동민산업)",2024-02-13
안산시,동성금속,"경기도 안산시 상록구 도금단지2길 24-1 (팔곡이동, 대진금속)",2024-02-13
안산시,동양금속,"경기도 안산시 상록구 도금단지2길 26 (팔곡이동, 동양금속)",2024-02-13
안산시,동원ENG,경기도 안산시 상록구 선진4길 11 (사동),2024-02-13
안산시,동주금속,"경기도 안산시 상록구 도금단지2길 37 (팔곡이동, 세일금속)",2024-02-13
안산시,두드림,경기도 안산시 상록구 안산벌말길 38-8(장하동),2024-02-13
안산시,두성바렐텍,"경기도 안산시 상록구 도금단지2길 17, 두성바렐텍 (팔곡이동, 영도금속)",2024-02-13
안산시,들꽃잠,"경기도 안산시 상록구 예술광장로 1,  다농마트1001호 (월피동)",2024-02-13
안산시,디비산업,경기도 안산시 상록구 양지마을3길 19-9 (사사동),2024-02-13
안산시,디에스다이아텍(주),"경기도 안산시 상록구 용담로 101 (팔곡이동, (주)써켐)",2024-02-13
안산시,디에스에너지(주),경기도 안산시 상록구 오리물길 16-11 (양상동),2024-02-13
안산시,디자인뷰,"경기도 안산시 상록구 안산천동로4길 42, 지하 (월피동)",2024-02-13
안산시,라파엘,경기도 안산시 상록구 청룡4길 35 (장상동),2024-02-13
안산시,럭셀,"경기도 안산시 상록구 노리울길 18, 202호 (장상동)",2024-02-13
안산시,루이,"경기도 안산시 상록구 정재로 32, 2층 (부곡동)",2024-02-13
안산시,리노정밀(주),경기도 안산시 상록구 남산평길 24 (팔곡일동),2024-02-13
안산시,매직쇼파,경기도 안산시 상록구 수인로 1790-8 (부곡동) 공장B동1호,2024-02-13
안산시,바로분전반,경기도 안산시 상록구 양지마을3길 7 (사사동),2024-02-13
안산시,바이켐(주)안산지점,"경기도 안산시 상록구 팔곡산단4길 14(팔곡이동, 바이켐 안산공장)",2024-02-13
안산시,반석산업,경기도 안산시 상록구 정동길 27 (팔곡일동),2024-02-13
안산시,범한일렉트론,"경기도 안산시 상록구 도금단지1길 18-11, 3층 (팔곡이동)",2024-02-13
안산시,베스트 프로파일,"경기도 안산시 상록구 양지마을3길 19-11 (사사동, 동보화학)",2024-02-13
안산시,베아렉스,"경기도 안산시 상록구 도금단지1길 30, 1층 일부 (팔곡이동)",2024-02-13
안산시,보람산업(주),"경기도 안산시 상록구 안산천서로 177, 1층 (월피동)",2024-02-13
안산시,보람산업사,경기도 안산시 상록구 안산천서로 175 (월피동),2024-02-13
안산시,보성산업사,"경기도 안산시 상록구 용담로 103 (팔곡이동, 보성산업) (총 2 필지)",2024-02-13
안산시,보성이엔지-에프에이,경기도 안산시 상록구 대촌길 10(사사동),2024-02-13
안산시,부광전자주식회사,"경기도 안산시 상록구 남산평길 111, 나동(팔곡일동)",2024-02-13
안산시,부옥물산(주),경기도 안산시 상록구 반월천남길 62 (팔곡일동) 외 3필지,2024-02-13
안산시,부전전자(주),"경기도 안산시상록구 사동 1494-3번지 ,4번지",2024-02-13
